date,RSV Detections,RSV Tests,Surveillance Year,Week ending Code ,temp_c,vapor_pressure_hpa
2012-09-08,249,4977,1213,1236,22.404403193281954,17.577268178531813
2012-09-15,199,5640,1213,1237,19.304935223458266,13.384981380743088
2012-09-22,216,6094,1213,1238,17.741567399855946,12.099761960698856
2012-09-29,299,6749,1213,1239,17.52870075579303,12.933955102532124
2012-10-06,381,6989,1213,1240,15.037725741425966,11.09075301456486
2012-10-13,391,7377,1213,1241,12.81807972116954,9.557627513140597
2012-10-20,537,7922,1213,1242,13.93844960810923,10.11512957411461
2012-10-27,704,8277,1213,1243,12.071394077322308,9.7669274409258
2012-11-03,873,8552,1213,1244,9.457132194393765,7.446294973878669
2012-11-10,1184,9732,1213,1245,8.043536906245674,7.014002254616542
2012-11-17,1372,10532,1213,1246,5.969774198904201,6.120208321928205
2012-11-24,1836,11043,1213,1247,6.795108036600155,6.341134351033996
2012-12-01,2167,13257,1213,1248,5.6620889109238135,6.3254336913807565
2012-12-08,2702,15300,1213,1249,7.676572847682119,7.675900550617426
2012-12-15,3640,18219,1213,1250,3.680956192894802,5.678468577703467
2012-12-22,4503,21509,1213,1251,2.7422269948785725,5.160957698056568
2012-12-29,4911,23486,1213,1252,-0.9845729267283012,4.264804935744253
2013-01-05,5368,25832,1213,1301,-1.117615077493929,4.034985670436041
2013-01-12,4866,27756,1213,1302,3.748576960309777,5.917483762989255
2013-01-19,4827,25923,1213,1303,0.6948883292281295,4.329181824942443
2013-01-26,4517,24001,1213,1304,-1.4871386365518957,3.4835705990124834
2013-02-02,4323,21992,1213,1305,2.1382020296988635,4.995110673064535
2013-02-09,4133,20508,1213,1306,2.607942378820323,5.124506535920111
2013-02-16,3659,18761,1213,1307,2.481019390581717,4.87818241484588
2013-02-23,3108,17650,1213,1308,1.0505724874163394,4.423717316433307
2013-03-02,2515,16296,1213,1309,2.719213308974146,4.98080968430637
2013-03-09,2057,15073,1213,1310,4.601940667834404,5.453369341362352
2013-03-16,1666,14339,1213,1311,6.327604583736021,5.816268989225793
2013-03-23,1302,13185,1213,1312,3.67782651878828,4.820533252986086
2013-03-30,1036,11899,1213,1313,7.07125269143709,6.019572103872116
2013-04-06,807,10994,1213,1314,8.80062142817511,6.360962034648345
2013-04-13,584,9633,1213,1315,10.901363080004453,8.598693309232917
2013-04-20,503,8967,1213,1316,10.766512644568646,8.154931917003514
2013-04-27,325,7949,1213,1317,12.16041707269538,8.206250435457088
2013-05-04,273,7611,1213,1318,14.014578650905964,9.52206426769081
2013-05-11,227,7149,1213,1319,16.213397538495503,11.711315674991576
2013-05-18,166,6333,1213,1320,18.397767536839783,12.226132611833242
